Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
ATL002,2,17.5,2,50.0
CB.FB5I1,4,9.25,3,66.66666666666667
CB.FB5I2,1,6.0,3,16.666666666666668
CB.FB6E3,1,6.0,7,7.142857142857143
CB.FB6E4,3,6.333333333333333,8,18.75
CB.FB6I0,1,8.0,4,12.5
CB1226,1,5.0,4,12.5
CB2550,4,6.25,5,40.0
CB2787,3,6.0,5,30.0
CB3523,1,7.0,2,25.0
CB3604,2,5.0,3,33.333333333333336
CRE042,1,11.0,2,25.0
CRE069,1,7.0,2,25.0
CRE071,2,12.0,2,50.0
CRE107,2,6.5,2,50.0
FB5AB,3,7.666666666666667,2,75.0
FB5B,7,55.714285714285715,5,70.0
FB5I,2,35.5,2,50.0
FB5Y,2,5.5,4,25.0
FB6E,2,6.0,2,50.0
FB6O,1,7.0,2,25.0
FB6Q,4,60.75,2,100.0
FB6S,4,8.25,6,33.333333333333336
LHPD5f1,2,11.5,2,50.0
LHPV5g1_b,1,5.0,8,6.25
MBON12,1,6.0,4,12.5
MBON30,2,10.5,2,50.0
PFGs,3,5.666666666666667,24,6.25
PFR,5,5.6,30,8.333333333333334
SIP003_a,1,6.0,9,5.555555555555555
SLP247,2,35.5,2,50.0
SMP011,4,19.0,4,50.0
SMP053,2,7.0,2,50.0
SMP184,1,6.0,2,25.0
SMP199,1,5.0,2,25.0
SMP405,1,5.0,5,10.0
SMP504,2,27.0,2,50.0
hDeltaC,40,25.175,21,95.23809523809524
hDeltaJ,53,18.735849056603772,30,88.33333333333333
