Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB5I1,6,22.5,3,100.0
CB.FB6I0,4,17.25,4,50.0
FB5AB,4,13.75,2,100.0
FB5B,10,14.6,5,100.0
FB5I,2,35.5,2,50.0
FB5Y,2,5.0,4,25.0
FB6O,1,5.0,2,25.0
FB6Q,4,10.0,2,100.0
FB6R,4,10.75,4,50.0
FB6V,2,13.5,2,50.0
FC2B,28,10.0,28,50.0
PFGs,20,14.9,24,41.666666666666664
PFR,34,25.764705882352942,30,56.666666666666664
hDeltaC,41,26.26829268292683,21,97.61904761904762
hDeltaG,1,5.0,8,6.25
hDeltaL,2,7.5,12,8.333333333333334
"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",37,12.783783783783784,315,5.873015873015873
"vDeltaF,vDeltaG,vDeltaH,vDeltaI",32,12.125,74,21.62162162162162
