Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB2E1,1,6.0,9,0.6944444444444444
CB.FB2E4,1,5.0,5,1.25
CB.FB5I3,13,7.3076923076923075,1,81.25
FB1H,1,5.0,2,3.125
FB4P_a,1,5.0,5,1.25
FB4Q_b,11,6.545454545454546,4,17.1875
FB4X,4,6.0,2,12.5
FB4Y,1,6.0,6,1.0416666666666667
FB5A,52,8.346153846153847,4,81.25
"FB5C,FB5F,FB5G,FB5P,FB5Q",4,6.0,24,1.0416666666666667
"FB5D,FB5E",4,6.0,2,12.5
"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",18,7.388888888888889,18,6.25
FB5O,7,5.857142857142857,3,14.583333333333334
FB5X,58,7.206896551724138,6,60.416666666666664
FB6O,2,7.0,2,6.25
FC2A,2,5.5,16,0.78125
"FS1A,FS1B",23,6.565217391304348,64,2.24609375
PFL2,31,11.258064516129032,12,16.145833333333332
PFL3,71,10.80281690140845,24,18.489583333333332
PLP042,1,6.0,18,0.3472222222222222
SMP237,3,6.666666666666667,2,9.375
SMP376,4,6.75,2,12.5
hDeltaA,1,5.0,10,0.625
hDeltaH,1,7.0,8,0.78125
hDeltaJ,1,6.0,30,0.20833333333333334
hDeltaM,18,8.5,8,14.0625
