Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB5I3,13,7.3076923076923075,1,81.25
FB1H,1,5.0,2,3.125
FB4Q_b,11,6.545454545454546,4,17.1875
FB4X,4,6.0,2,12.5
FB5A,52,8.346153846153847,4,81.25
"FB5D,FB5E",4,6.0,2,12.5
"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",18,7.388888888888889,18,6.25
FB5O,7,5.857142857142857,3,14.583333333333334
FB5X,58,7.206896551724138,6,60.416666666666664
FB6O,2,7.0,2,6.25
"FS1A,FS1B",23,6.565217391304348,64,2.24609375
PFL2,31,11.258064516129032,12,16.145833333333332
PFL3,71,10.80281690140845,24,18.489583333333332
SMP237,3,6.666666666666667,2,9.375
SMP376,4,6.75,2,12.5
hDeltaM,18,8.5,8,14.0625
