Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CRE040,2,7.0,2,3.5714285714285716
FB1H,1,8.0,2,1.7857142857142858
FB4C,1,5.0,2,1.7857142857142858
FB5A,110,13.145454545454545,4,98.21428571428571
"FB5C,FB5F,FB5G,FB5P,FB5Q",11,7.2727272727272725,24,1.6369047619047619
"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",1,6.0,18,0.1984126984126984
FB5X,2,5.0,6,1.1904761904761905
FB5Y,2,5.5,4,1.7857142857142858
"FS1A,FS1B",62,6.983870967741935,64,3.4598214285714284
FS2,1,6.0,38,0.09398496240601503
LAL022,3,5.666666666666667,6,1.7857142857142858
LAL045,1,5.0,2,1.7857142857142858
LAL142,1,8.0,2,1.7857142857142858
LAL200,6,5.5,2,10.714285714285714
PFL2,42,9.095238095238095,12,12.5
PFL3,71,8.338028169014084,24,10.56547619047619
PFR,1,5.0,30,0.11904761904761904
SMP153,7,7.0,4,6.25
SMP155,7,5.285714285714286,4,6.25
SMP386,3,6.666666666666667,2,5.357142857142857
hDeltaH,1,6.0,8,0.44642857142857145
hDeltaJ,1,5.0,30,0.11904761904761904
hDeltaM,44,13.386363636363637,8,19.642857142857142
oviIN,1,5.0,2,1.7857142857142858
