Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
"CB.FB3,4L0",6,6.166666666666667,6,2.6315789473684212
"CB.FB3,4L1",4,5.25,8,1.3157894736842106
CB.FB5I2,1,5.0,3,0.8771929824561403
CB.FB6D0,4,5.75,1,10.526315789473685
CB.FB6D2,17,7.0588235294117645,2,22.36842105263158
CB.FB6E4,28,6.392857142857143,8,9.210526315789474
CB.FB6I0,4,5.75,4,2.6315789473684212
CB.FB7D0,104,6.846153846153846,10,27.36842105263158
ExR7,1,5.0,4,0.6578947368421053
FB1G,18,6.388888888888889,2,23.68421052631579
FB2B,1,6.0,7,0.37593984962406013
FB4N,2,6.0,2,2.6315789473684212
FB4O,5,5.4,8,1.644736842105263
FB4P_a,1,6.0,5,0.5263157894736842
FB5A,58,7.362068965517241,4,38.1578947368421
FB5AB,3,5.0,2,3.9473684210526314
"FB5C,FB5F,FB5G,FB5P,FB5Q",13,7.769230769230769,24,1.4254385964912282
"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",1,6.0,18,0.14619883040935672
FB5O,3,6.0,3,2.6315789473684212
FB5X,2,6.0,6,0.8771929824561403
FB5Z,3,6.0,5,1.5789473684210527
FB6F,1,6.0,2,1.3157894736842106
FB6K,1,5.0,5,0.5263157894736842
FB6R,1,5.0,4,0.6578947368421053
FB6V,22,6.818181818181818,2,28.94736842105263
FB6W,35,7.3428571428571425,4,23.026315789473685
FB6Z,3,5.333333333333333,2,3.9473684210526314
FB7E,11,5.818181818181818,5,5.7894736842105265
FB7G,11,7.909090909090909,2,14.473684210526315
FB7L,1,6.0,5,0.5263157894736842
FB8E,1,5.0,6,0.43859649122807015
FB8G,17,5.411764705882353,6,7.456140350877193
FB8I,1,8.0,6,0.43859649122807015
"FC1A,FC1B,FC1F",1,8.0,43,0.06119951040391677
FC2B,1,6.0,28,0.09398496240601503
FC2C,1,6.0,40,0.06578947368421052
FC3,38,6.684210526315789,40,2.5
PFGs,2,10.0,24,0.21929824561403508
PFR,2,5.5,30,0.17543859649122806
"SMP166,SMP167",2,5.5,17,0.30959752321981426
SMP183,1,8.0,2,1.3157894736842106
hDeltaA,8,7.5,10,2.1052631578947367
hDeltaB,58,11.775862068965518,18,8.47953216374269
hDeltaD,1,6.0,8,0.32894736842105265
hDeltaE,14,8.0,8,4.605263157894737
hDeltaF,9,8.11111111111111,8,2.960526315789474
hDeltaG,55,13.0,8,18.092105263157894
hDeltaH,33,13.424242424242424,8,10.855263157894736
hDeltaI,3,5.666666666666667,20,0.39473684210526316
hDeltaL,72,12.73611111111111,12,15.789473684210526
hDeltaM,2,11.0,8,0.6578947368421053
"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",35,5.685714285714286,315,0.29239766081871343
"vDeltaF,vDeltaG,vDeltaH,vDeltaI",7,6.571428571428571,74,0.24893314366998578
