Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB6B1,3,5.333333333333333,8,0.9868421052631579
CB.FB7B0,11,5.7272727272727275,5,5.7894736842105265
CB1683,1,6.0,3,0.8771929824561403
CB2124,1,7.0,2,1.3157894736842106
CB2146,1,5.0,3,0.8771929824561403
CB2638,1,8.0,6,0.43859649122807015
CB2814,1,7.0,8,0.32894736842105265
CL007,1,8.0,2,1.3157894736842106
CL182,1,6.0,9,0.29239766081871343
CRE048,2,7.5,2,2.6315789473684212
DGI,2,5.0,2,2.6315789473684212
FB4B,1,5.0,2,1.3157894736842106
"FB5S,FB6L",5,5.8,6,2.192982456140351
FB6H,1,5.0,2,1.3157894736842106
FB7J,7,5.285714285714286,4,4.605263157894737
FB8B,1,5.0,5,0.5263157894736842
LAL182,1,5.0,2,1.3157894736842106
PPL104,3,6.0,2,3.9473684210526314
SIP029,1,7.0,2,1.3157894736842106
SIP087,1,8.0,2,1.3157894736842106
SMP010,7,6.428571428571429,2,9.210526315789474
SMP011,5,5.2,4,3.289473684210526
SMP146,2,5.5,2,2.6315789473684212
SMP178,3,5.333333333333333,2,3.9473684210526314
SMP408_a,1,7.0,4,0.6578947368421053
SMP457,4,5.75,2,5.2631578947368425
SMP504,2,5.5,2,2.6315789473684212
hDeltaE,1,5.0,8,0.32894736842105265
hDeltaG,17,6.9411764705882355,8,5.592105263157895
hDeltaL,3,6.333333333333333,12,0.6578947368421053
mALB1,1,6.0,2,1.3157894736842106
