Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB7B0,11,5.7272727272727275,5,5.7894736842105265
CRE048,2,7.5,2,2.6315789473684212
DGI,2,5.0,2,2.6315789473684212
"FB5S,FB6L",5,5.8,6,2.192982456140351
FB7J,7,5.285714285714286,4,4.605263157894737
PPL104,3,6.0,2,3.9473684210526314
SMP010,7,6.428571428571429,2,9.210526315789474
SMP011,5,5.2,4,3.289473684210526
SMP146,2,5.5,2,2.6315789473684212
SMP178,3,5.333333333333333,2,3.9473684210526314
SMP457,4,5.75,2,5.2631578947368425
SMP504,2,5.5,2,2.6315789473684212
hDeltaG,17,6.9411764705882355,8,5.592105263157895
