Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
"CB.FB3,4L0",1,7.0,6,0.6944444444444444
CB.FB6E4,95,12.0,8,49.479166666666664
CB2276,1,5.0,3,1.3888888888888888
CRE100,1,8.0,2,2.0833333333333335
ER1,1,20.0,29,0.14367816091954022
ExR3,24,9.333333333333334,2,50.0
FB1H,1,5.0,2,2.0833333333333335
FB4B,1,5.0,2,2.0833333333333335
FB4O,3,6.0,8,1.5625
"FB4P,FB4Q,FB4R",8,7.5,11,3.0303030303030303
FB4P_a,1,5.0,5,0.8333333333333334
FB4X,9,8.0,2,18.75
"FB4Z,FB5U,FB5R",1,6.0,12,0.3472222222222222
FB5A,3,6.0,4,3.125
"FB5C,FB5F,FB5G,FB5P,FB5Q",1,5.0,24,0.1736111111111111
FB5I,3,5.666666666666667,2,6.25
FC2A,1,5.0,16,0.2604166666666667
FC2B,1,11.0,28,0.1488095238095238
FC3,1,8.0,40,0.10416666666666667
FR1,1,8.0,18,0.23148148148148148
FS2,2,10.0,38,0.21929824561403508
LAL002,2,27.5,2,4.166666666666667
LAL147,1,9.0,8,0.5208333333333334
LPsP,4,16.5,2,8.333333333333334
NoType,3,10.666666666666666,9374,0.0013334755707275442
PEG,2,9.0,21,0.3968253968253968
PEN_a(PEN1),2,13.0,20,0.4166666666666667
PFGs,15,8.4,24,2.6041666666666665
PFL3,1,6.0,24,0.1736111111111111
PFNa,1,7.0,55,0.07575757575757576
PFNd,5,12.4,40,0.5208333333333334
"PFNm,PFNp",2,5.5,321,0.02596053997923157
PFNv,1,10.0,21,0.1984126984126984
PFR,10,9.0,30,1.3888888888888888
SMP164,1,5.0,2,2.0833333333333335
hDeltaA,12,10.166666666666666,10,5.0
hDeltaB,7,6.428571428571429,18,1.6203703703703705
hDeltaG,9,8.444444444444445,8,4.6875
hDeltaH,12,8.333333333333334,8,6.25
hDeltaI,4,11.5,20,0.8333333333333334
hDeltaK,64,13.046875,31,8.602150537634408
"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",3,6.0,315,0.03968253968253968
"vDeltaF,vDeltaG,vDeltaH,vDeltaI",3,5.666666666666667,74,0.16891891891891891
