Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
AOTU019,42,36.61904761904762,2,87.5
AOTU042,59,20.25423728813559,4,61.458333333333336
ATL028,26,7.923076923076923,2,54.166666666666664
CB0021,13,8.846153846153847,2,27.083333333333332
CB0429,34,15.382352941176471,2,70.83333333333333
CB0757,53,14.471698113207546,4,55.208333333333336
CB1705,16,6.0,7,9.523809523809524
CB1721,2,5.5,4,2.0833333333333335
CB2509,27,6.7407407407407405,4,28.125
CB2784,3,5.0,5,2.5
CB3014,4,5.5,3,5.555555555555555
CRE040,1,8.0,2,2.0833333333333335
CRE041,29,14.931034482758621,2,60.416666666666664
DNa02,25,18.96,2,52.083333333333336
DNa03,30,14.2,2,62.5
DNa04,23,13.26086956521739,2,47.916666666666664
DNb01,24,29.708333333333332,4,25.0
DNbe006,24,11.458333333333334,2,50.0
DNge159,18,11.88888888888889,2,37.5
FB5A,23,6.6521739130434785,4,23.958333333333332
IB020,7,7.142857142857143,2,14.583333333333334
IB049,3,5.666666666666667,4,3.125
LAL009,21,11.095238095238095,2,43.75
LAL010,28,15.571428571428571,2,58.333333333333336
LAL014,12,7.166666666666667,2,25.0
LAL018,12,7.333333333333333,2,25.0
LAL040,39,24.28205128205128,2,81.25
LAL045,22,9.5,2,45.833333333333336
LAL046,18,9.444444444444445,2,37.5
LAL056,3,5.333333333333333,5,2.5
LAL075,1,5.0,2,2.0833333333333335
LAL076,19,15.368421052631579,2,39.583333333333336
LAL088,2,5.5,3,2.7777777777777777
LAL101,22,9.909090909090908,2,45.833333333333336
LAL121,47,71.23404255319149,2,97.91666666666667
LAL122,15,9.133333333333333,2,31.25
LAL123,26,10.576923076923077,2,54.166666666666664
LAL126,64,18.046875,4,66.66666666666667
LAL130,1,5.0,2,2.0833333333333335
LAL141,40,38.675,2,83.33333333333333
LAL142,32,11.8125,2,66.66666666666667
"LAL163,LAL164",43,9.837209302325581,4,44.791666666666664
LAL190,31,11.32258064516129,2,64.58333333333333
LAL193,30,13.733333333333333,2,62.5
LAL194,43,9.651162790697674,4,44.791666666666664
LAL200,23,10.826086956521738,2,47.916666666666664
"LC33a,LC33b",45,8.177777777777777,27,6.944444444444445
LCNOp,18,10.166666666666666,2,37.5
PLP021,5,6.0,3,6.944444444444445
PS010,1,5.0,2,2.0833333333333335
PS011,2,6.0,2,4.166666666666667
PS013,20,10.5,2,41.666666666666664
PS017,4,6.0,2,8.333333333333334
PS018,30,19.6,4,31.25
PS211,29,21.517241379310345,2,60.416666666666664
PS212,10,11.4,2,20.833333333333332
PS297,1,5.0,2,2.0833333333333335
VES005,28,20.428571428571427,2,58.333333333333336
VES011,1,6.0,2,2.0833333333333335
VES026,21,8.571428571428571,2,43.75
VES041,4,6.25,2,8.333333333333334
VES054,40,34.675,2,83.33333333333333
VES059,26,10.884615384615385,2,54.166666666666664
