Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB2E3,3,13.666666666666666,6,2.7777777777777777
CB.FB2E4,2,5.0,5,2.2222222222222223
FB1H,19,7.157894736842105,2,52.77777777777778
FB3A,29,9.03448275862069,4,40.27777777777778
"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",21,6.333333333333333,36,3.240740740740741
FB4B,36,84.86111111111111,2,100.0
FB4C,19,9.0,2,52.77777777777778
FB4K,2,5.0,4,2.7777777777777777
FB4L,28,7.035714285714286,4,38.888888888888886
FB4M,72,17.23611111111111,4,100.0
FB4N,3,5.0,2,8.333333333333334
FB4O,13,6.384615384615385,8,9.027777777777779
"FB4P,FB4Q,FB4R",70,19.314285714285713,11,35.35353535353536
FB8B,7,15.142857142857142,5,7.777777777777778
OA-VPM3,4,6.5,2,11.11111111111111
PFNd,319,48.03448275862069,40,44.30555555555556
PFNv,94,28.372340425531913,21,24.867724867724867
hDeltaB,69,11.478260869565217,18,21.296296296296298
