Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
FB1H,25,10.24,2,69.44444444444444
FB3A,38,9.289473684210526,4,52.77777777777778
"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",185,13.227027027027027,36,28.549382716049383
FB4B,30,49.56666666666667,2,83.33333333333333
FB4C,30,29.8,2,83.33333333333333
FB4K,9,7.111111111111111,4,12.5
FB4L,10,5.8,4,13.88888888888889
FB4M,69,11.681159420289855,4,95.83333333333333
FB4N,36,57.583333333333336,2,100.0
FB8B,6,9.666666666666666,5,6.666666666666667
FR1,57,36.59649122807018,18,17.59259259259259
FS2,58,11.775862068965518,38,8.47953216374269
PFGs,72,44.69444444444444,24,16.666666666666668
PFL1,14,11.571428571428571,14,5.555555555555555
PFR,140,67.77142857142857,30,25.925925925925927
hDeltaA,39,28.333333333333332,10,21.666666666666668
hDeltaB,69,11.478260869565217,18,21.296296296296298
hDeltaC,19,10.0,21,5.026455026455026
hDeltaG,34,22.294117647058822,8,23.61111111111111
hDeltaH,28,27.035714285714285,8,19.444444444444443
hDeltaI,104,27.990384615384617,20,28.88888888888889
hDeltaJ,152,15.703947368421053,30,28.14814814814815
hDeltaK,107,32.495327102803735,31,19.17562724014337
hDeltaL,32,17.34375,12,14.814814814814815
hDeltaM,8,10.125,8,5.555555555555555
