Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB1E0,23,8.08695652173913,4,27.38095238095238
CB.FB2E1,19,7.2105263157894735,9,10.052910052910052
CB.FB2E2,32,7.6875,7,21.768707482993197
CB.FB2E3,44,6.636363636363637,6,34.92063492063492
CB.FB2E4,31,7.419354838709677,5,29.523809523809526
CB.FB2E6,10,7.1,5,9.523809523809524
CB.FB2I3,13,5.769230769230769,5,12.380952380952381
CB.FB5I1,48,12.25,3,76.19047619047619
CB.FB6E3,77,9.857142857142858,7,52.38095238095238
CB.FB6E4,154,15.87012987012987,8,91.66666666666667
CB.FB6E5,8,6.875,2,19.047619047619047
CB.FB6I0,42,20.928571428571427,4,50.0
CB.FB7E1,31,6.67741935483871,6,24.603174603174605
FB1G,33,8.666666666666666,2,78.57142857142857
FB4X,11,6.090909090909091,2,26.19047619047619
FB5A,41,6.975609756097561,4,48.80952380952381
FB5AB,42,30.0,2,100.0
FB5B,48,8.625,5,45.714285714285715
FB5I,41,26.26829268292683,2,97.61904761904762
FB5Y,29,6.0344827586206895,4,34.523809523809526
FB6E,38,15.131578947368421,2,90.47619047619048
FB6H,14,7.571428571428571,2,33.333333333333336
FB6K,27,6.666666666666667,5,25.714285714285715
FB6Q,33,8.393939393939394,2,78.57142857142857
hDeltaB,19,10.0,18,5.026455026455026
hDeltaF,18,7.944444444444445,8,10.714285714285714
