Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB5I1,33,9.93939393939394,3,52.38095238095238
CB.FB6E3,7,5.285714285714286,7,4.761904761904762
CB.FB6E4,39,6.512820512820513,8,23.214285714285715
CB.FB6E5,1,5.0,2,2.380952380952381
CB.FB6I0,33,9.272727272727273,4,39.285714285714285
CB.FB7D0,5,6.0,10,2.380952380952381
CB.FB7E1,8,6.125,6,6.349206349206349
ExR1,4,6.0,4,4.761904761904762
FB5AB,8,5.625,2,19.047619047619047
FB5B,3,5.333333333333333,5,2.857142857142857
"FB5C,FB5F,FB5G,FB5P,FB5Q",3,6.666666666666667,24,0.5952380952380952
FB5I,40,25.175,2,95.23809523809524
"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",2,5.5,18,0.5291005291005291
"FB5S,FB6L",6,5.5,6,4.761904761904762
FB5Y,24,5.75,4,28.571428571428573
FB6E,29,8.517241379310345,2,69.04761904761905
FB6H,9,6.111111111111111,2,21.428571428571427
FB6K,5,5.2,5,4.761904761904762
FB6Q,1,5.0,2,2.380952380952381
FB6V,17,6.9411764705882355,2,40.476190476190474
FB6W,24,6.291666666666667,4,28.571428571428573
FC2A,4,6.25,16,1.1904761904761905
FC2B,125,18.288,28,21.258503401360546
FC2C,25,10.24,40,2.9761904761904763
"FS1A,FS1B",1,5.0,64,0.0744047619047619
NoType,12,9.5,9374,0.006095888323325917
PFGs,31,7.774193548387097,24,6.150793650793651
PFR,15,7.466666666666667,30,2.380952380952381
hDeltaC,1,6.0,21,0.22675736961451248
hDeltaD,1,5.0,8,0.5952380952380952
hDeltaF,52,13.884615384615385,8,30.952380952380953
hDeltaG,3,7.666666666666667,8,1.7857142857142858
"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",122,9.163934426229508,315,1.8442932728647015
"vDeltaF,vDeltaG,vDeltaH,vDeltaI",27,7.111111111111111,74,1.7374517374517375
