Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB5I1,33,9.93939393939394,3,52.38095238095238
CB.FB6E4,39,6.512820512820513,8,23.214285714285715
CB.FB6I0,33,9.272727272727273,4,39.285714285714285
CB.FB7E1,8,6.125,6,6.349206349206349
FB5AB,8,5.625,2,19.047619047619047
FB5I,40,25.175,2,95.23809523809524
FB5Y,24,5.75,4,28.571428571428573
FB6E,29,8.517241379310345,2,69.04761904761905
FB6H,9,6.111111111111111,2,21.428571428571427
FB6V,17,6.9411764705882355,2,40.476190476190474
FB6W,24,6.291666666666667,4,28.571428571428573
FC2B,125,18.288,28,21.258503401360546
PFGs,31,7.774193548387097,24,6.150793650793651
hDeltaF,52,13.884615384615385,8,30.952380952380953
