Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB1E0,21,11.380952380952381,4,65.625
CB.FB1E1,22,8.5,6,45.833333333333336
CB.FB2E5,3,5.333333333333333,4,9.375
CB.FB2E7,3,5.333333333333333,3,12.5
CB.FB6B1,2,5.5,8,3.125
CB.FB6C2,16,10.6875,2,100.0
CB.FB6D0,7,10.142857142857142,1,87.5
CB.FB6E3,51,33.86274509803921,7,91.07142857142857
CB.FB6E4,64,71.15625,8,100.0
CB.FB6E5,8,7.75,2,50.0
CB.FB7B0,15,5.733333333333333,5,37.5
CB.FB7D0,4,5.0,10,5.0
CB.FB7E1,48,51.875,6,100.0
FB5A,27,11.074074074074074,4,84.375
FB6E,13,9.153846153846153,2,81.25
FB6F,16,21.5,2,100.0
FB6H,13,8.076923076923077,2,81.25
FB6K,3,5.333333333333333,5,7.5
FB6R,4,8.25,4,12.5
FB6Z,14,9.642857142857142,2,87.5
"FB7A,FB7K",37,18.35135135135135,10,46.25
FB7B,2,5.5,2,12.5
FB7E,39,15.871794871794872,5,97.5
"FB7F,FB8F",35,9.228571428571428,25,17.5
FB7G,3,6.0,2,18.75
FB7J,31,9.225806451612904,4,96.875
FB7L,39,16.256410256410255,5,97.5
"FB8A,FB8H",71,18.04225352112676,17,52.205882352941174
FB8B,2,6.5,5,5.0
FB8C,15,6.933333333333334,4,46.875
FB8D,3,8.333333333333334,4,9.375
FB8I,30,8.866666666666667,6,62.5
hDeltaC,52,13.884615384615385,21,30.952380952380953
hDeltaD,12,15.416666666666666,8,18.75
hDeltaE,14,16.142857142857142,8,21.875
hDeltaF,14,16.571428571428573,8,21.875
hDeltaL,6,6.833333333333333,12,6.25
