Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB5I1,1,5.0,3,4.166666666666667
CB.FB6B1,5,6.2,8,7.8125
CB.FB6C2,3,6.333333333333333,2,18.75
CB.FB6D2,7,8.0,2,43.75
CB.FB6E3,4,6.25,7,7.142857142857143
CB.FB6E4,13,6.3076923076923075,8,20.3125
CB.FB6I0,16,12.25,4,50.0
CB.FB7B0,4,5.5,5,10.0
CB.FB7D0,41,7.951219512195122,10,51.25
ExR1,2,6.0,4,6.25
ExR3,1,5.0,2,6.25
FB5B,1,5.0,5,2.5
FB6E,1,8.0,2,6.25
FB6F,1,5.0,2,6.25
FB6H,10,8.1,2,62.5
FB6K,23,7.391304347826087,5,57.5
FB6M,26,9.76923076923077,4,81.25
FB6Q,3,6.333333333333333,2,18.75
FB6R,8,5.75,4,25.0
FB6V,4,6.25,2,25.0
FB7E,4,5.75,5,10.0
FB8G,4,5.0,6,8.333333333333334
FC2B,18,10.277777777777779,28,8.035714285714286
FC2C,78,14.307692307692308,40,24.375
FS2,9,8.11111111111111,38,2.960526315789474
FS3,44,8.25,68,8.088235294117647
PFGs,23,16.91304347826087,24,11.979166666666666
hDeltaC,18,7.944444444444445,21,10.714285714285714
hDeltaE,14,11.571428571428571,8,21.875
hDeltaF,14,16.571428571428573,8,21.875
hDeltaL,22,10.090909090909092,12,22.916666666666668
"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",61,7.918032786885246,315,2.4206349206349205
