Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB2E1,18,6.277777777777778,9,6.666666666666667
CB.FB2E4,2,5.5,5,1.3333333333333333
CB.FB2I3,8,5.0,5,5.333333333333333
CB.FB5I1,61,8.180327868852459,3,67.77777777777777
CB.FB6E4,1,5.0,8,0.4166666666666667
CB.FB6I0,2,6.5,4,1.6666666666666667
ExR5,2,5.5,4,1.6666666666666667
FB1G,21,6.619047619047619,2,35.0
FB1H,22,6.363636363636363,2,36.666666666666664
"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",192,8.520833333333334,36,17.77777777777778
FB4B,3,5.333333333333333,2,5.0
FB4K,7,5.428571428571429,4,5.833333333333333
FB4M,2,5.0,4,1.6666666666666667
FB4N,23,6.6521739130434785,2,38.333333333333336
FB4O,16,7.25,8,6.666666666666667
"FB4P,FB4Q,FB4R",3,7.0,11,0.9090909090909091
FB4Q_b,6,6.0,4,5.0
FB4X,41,8.78048780487805,2,68.33333333333333
FB5A,9,6.444444444444445,4,7.5
"FB5D,FB5E",1,5.0,2,1.6666666666666667
FB5I,2,6.0,2,3.3333333333333335
"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",29,7.586206896551724,18,5.37037037037037
FB5X,1,5.0,6,0.5555555555555556
"FC1A,FC1B,FC1F",3,6.333333333333333,43,0.23255813953488372
FC2A,1,6.0,16,0.20833333333333334
FC2B,1,5.0,28,0.11904761904761904
FC3,19,6.947368421052632,40,1.5833333333333333
PFNa,24,6.458333333333333,55,1.4545454545454546
PFNd,24,6.208333333333333,40,2.0
"PFNm,PFNp",30,7.766666666666667,321,0.3115264797507788
PFNv,8,7.25,21,1.2698412698412698
PFR,2,8.5,30,0.2222222222222222
hDeltaA,3,6.0,10,1.0
hDeltaB,152,15.703947368421053,18,28.14814814814815
hDeltaH,1,7.0,8,0.4166666666666667
hDeltaJ,2,5.5,30,0.2222222222222222
hDeltaK,1,5.0,31,0.10752688172043011
hDeltaM,2,9.0,8,0.8333333333333334
