Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB2E1,18,6.277777777777778,9,6.666666666666667
CB.FB2I3,8,5.0,5,5.333333333333333
CB.FB5I1,61,8.180327868852459,3,67.77777777777777
FB1G,21,6.619047619047619,2,35.0
FB1H,22,6.363636363636363,2,36.666666666666664
"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",192,8.520833333333334,36,17.77777777777778
FB4B,3,5.333333333333333,2,5.0
FB4K,7,5.428571428571429,4,5.833333333333333
FB4N,23,6.6521739130434785,2,38.333333333333336
FB4O,16,7.25,8,6.666666666666667
FB4Q_b,6,6.0,4,5.0
FB4X,41,8.78048780487805,2,68.33333333333333
FB5A,9,6.444444444444445,4,7.5
"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",29,7.586206896551724,18,5.37037037037037
hDeltaB,152,15.703947368421053,18,28.14814814814815
