Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB2E1,3,5.0,9,1.1111111111111112
CB.FB5I1,47,7.808510638297872,3,52.22222222222222
FB1H,51,11.862745098039216,2,85.0
"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",30,6.7,36,2.7777777777777777
"FB4P,FB4Q,FB4R",2,5.5,11,0.6060606060606061
FB4P_a,4,5.5,5,2.6666666666666665
FB4Q_b,15,6.2,4,12.5
FB4X,55,26.490909090909092,2,91.66666666666667
"FB5C,FB5F,FB5G,FB5P,FB5Q",12,6.666666666666667,24,1.6666666666666667
FB5I,53,18.60377358490566,2,88.33333333333333
"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",19,6.368421052631579,18,3.5185185185185186
FB6W,5,5.6,4,4.166666666666667
FC2A,111,22.792792792792792,16,23.125
FC2B,113,15.557522123893806,28,13.452380952380953
FC2C,1,5.0,40,0.08333333333333333
FR1,2,6.0,18,0.37037037037037035
FR2,26,7.076923076923077,17,5.098039215686274
"FS1A,FS1B",7,6.0,64,0.3645833333333333
NoType,9,16.22222222222222,9374,0.0032003413697461063
PFGs,11,6.7272727272727275,24,1.5277777777777777
PFL2,2,5.5,12,0.5555555555555556
PFL3,3,5.666666666666667,24,0.4166666666666667
PFR,47,11.46808510638298,30,5.222222222222222
hDeltaA,2,6.5,10,0.6666666666666666
hDeltaC,1,5.0,21,0.15873015873015872
hDeltaH,13,6.076923076923077,8,5.416666666666667
hDeltaI,4,8.0,20,0.6666666666666666
hDeltaJ,2,5.5,30,0.2222222222222222
hDeltaM,1,11.0,8,0.4166666666666667
"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",4,5.5,315,0.042328042328042326
"vDeltaF,vDeltaG,vDeltaH,vDeltaI",5,6.0,74,0.22522522522522523
