Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB5I1,47,7.808510638297872,3,52.22222222222222
FB1H,51,11.862745098039216,2,85.0
"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",30,6.7,36,2.7777777777777777
FB4P_a,4,5.5,5,2.6666666666666665
FB4Q_b,15,6.2,4,12.5
FB4X,55,26.490909090909092,2,91.66666666666667
FB5I,53,18.60377358490566,2,88.33333333333333
"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",19,6.368421052631579,18,3.5185185185185186
FB6W,5,5.6,4,4.166666666666667
FC2A,111,22.792792792792792,16,23.125
FC2B,113,15.557522123893806,28,13.452380952380953
FR2,26,7.076923076923077,17,5.098039215686274
PFR,47,11.46808510638298,30,5.222222222222222
hDeltaH,13,6.076923076923077,8,5.416666666666667
