Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB2E3,60,6.15,6,13.513513513513514
CB.FB2E4,5,5.8,5,1.3513513513513513
CB.FB2E5,8,6.25,4,2.7027027027027026
CB.FB2E7,2,6.0,3,0.9009009009009009
CB.FB2I0,1,5.0,2,0.6756756756756757
CB.FB2I2,3,5.0,6,0.6756756756756757
CB.FB5I0,5,5.8,1,6.756756756756757
CB.FB5I2,153,22.38562091503268,3,68.91891891891892
CB.FB5I4,1,5.0,1,1.3513513513513513
CB.FB6I0,10,8.1,4,3.3783783783783785
ExR5,12,6.25,4,4.054054054054054
FB1G,8,7.125,2,5.405405405405405
FB2B,1,5.0,7,0.19305019305019305
"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",96,19.333333333333332,36,3.6036036036036037
FB4X,1,6.0,2,0.6756756756756757
FB4Y,18,5.388888888888889,6,4.054054054054054
"FB4Z,FB5U,FB5R",10,6.6,12,1.1261261261261262
FB5A,5,5.8,4,1.6891891891891893
FB5AB,89,14.910112359550562,2,60.13513513513514
"FB5C,FB5F,FB5G,FB5P,FB5Q",2,6.0,24,0.11261261261261261
FB5H,66,7.96969696969697,2,44.5945945945946
FB5I,32,12.0625,2,21.62162162162162
"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",4,5.75,18,0.3003003003003003
FB5O,1,5.0,3,0.45045045045045046
FB6V,1,8.0,2,0.6756756756756757
FB6W,1,9.0,4,0.33783783783783783
"FC1A,FC1B,FC1F",3,7.333333333333333,43,0.09428032683846638
FC3,200,7.505,40,6.756756756756757
PFGs,3,5.666666666666667,24,0.16891891891891891
"PFNm,PFNp",52,6.096153846153846,321,0.21891049928433107
PFR,2,5.5,30,0.09009009009009009
hDeltaB,2,11.5,18,0.15015015015015015
hDeltaC,27,7.111111111111111,21,1.7374517374517375
hDeltaG,11,9.0,8,1.8581081081081081
hDeltaH,60,10.316666666666666,8,10.135135135135135
hDeltaI,1,8.0,20,0.06756756756756757
hDeltaJ,5,6.0,30,0.22522522522522523
hDeltaM,2,6.5,8,0.33783783783783783
"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",25,5.76,315,0.10725010725010725
"vDeltaF,vDeltaG,vDeltaH,vDeltaI",136,7.794117647058823,74,2.483564645726808
