Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB2E3,60,6.15,6,13.513513513513514
CB.FB2E5,8,6.25,4,2.7027027027027026
CB.FB5I0,5,5.8,1,6.756756756756757
CB.FB5I2,153,22.38562091503268,3,68.91891891891892
CB.FB6I0,10,8.1,4,3.3783783783783785
ExR5,12,6.25,4,4.054054054054054
FB1G,8,7.125,2,5.405405405405405
"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",96,19.333333333333332,36,3.6036036036036037
FB4Y,18,5.388888888888889,6,4.054054054054054
FB5AB,89,14.910112359550562,2,60.13513513513514
FB5H,66,7.96969696969697,2,44.5945945945946
FB5I,32,12.0625,2,21.62162162162162
FC3,200,7.505,40,6.756756756756757
hDeltaH,60,10.316666666666666,8,10.135135135135135
"vDeltaF,vDeltaG,vDeltaH,vDeltaI",136,7.794117647058823,74,2.483564645726808
