Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB5I2,106,12.00943396226415,3,47.747747747747745
CB.FB6I0,1,6.0,4,0.33783783783783783
ExR5,1,5.0,4,0.33783783783783783
"FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J",8,5.375,36,0.3003003003003003
FB4P_a,7,5.857142857142857,5,1.8918918918918919
FB4X,2,6.5,2,1.3513513513513513
FB4Y,185,8.07027027027027,6,41.666666666666664
FB5A,5,5.2,4,1.6891891891891893
"FB5C,FB5F,FB5G,FB5P,FB5Q",27,6.037037037037037,24,1.5202702702702702
"FB5D,FB5E",4,6.0,2,2.7027027027027026
FB5H,100,10.52,2,67.56756756756756
FB5O,8,5.625,3,3.6036036036036037
FB6W,6,6.0,4,2.027027027027027
FC1C,2,6.0,27,0.1001001001001001
"FC1D,FC1E",1,5.0,38,0.03556187766714083
FC2A,153,12.117647058823529,16,12.922297297297296
FC2B,103,9.048543689320388,28,4.971042471042471
FR1,40,6.4,18,3.003003003003003
"FS1A,FS1B",1,5.0,64,0.021114864864864864
FS2,7,6.571428571428571,38,0.24893314366998578
NoType,17,8.411764705882353,9374,0.0024507118597154867
PFL2,9,6.222222222222222,12,1.0135135135135136
PFL3,2,6.5,24,0.11261261261261261
PFR,56,6.946428571428571,30,2.5225225225225225
hDeltaA,8,6.25,10,1.0810810810810811
hDeltaG,38,12.526315789473685,8,6.418918918918919
hDeltaH,217,16.838709677419356,8,36.6554054054054
hDeltaI,1,5.0,20,0.06756756756756757
hDeltaM,66,12.287878787878787,8,11.14864864864865
"vDeltaA,vDeltaB,vDeltaC,vDeltaD,vDeltaE,vDeltaJ,vDeltaK,vDeltaL,vDeltaM",1,5.0,315,0.00429000429000429
"vDeltaF,vDeltaG,vDeltaH,vDeltaI",136,7.794117647058823,74,2.483564645726808
