Type,Count_of_Category,Average_Count,Type_Count,Percent_of_total
CB.FB5I2,106,12.00943396226415,3,47.747747747747745
FB4Y,185,8.07027027027027,6,41.666666666666664
"FB5D,FB5E",4,6.0,2,2.7027027027027026
FB5H,100,10.52,2,67.56756756756756
FB5O,8,5.625,3,3.6036036036036037
FB6W,6,6.0,4,2.027027027027027
FC2A,153,12.117647058823529,16,12.922297297297296
FC2B,103,9.048543689320388,28,4.971042471042471
FR1,40,6.4,18,3.003003003003003
PFR,56,6.946428571428571,30,2.5225225225225225
hDeltaG,38,12.526315789473685,8,6.418918918918919
hDeltaH,217,16.838709677419356,8,36.6554054054054
hDeltaM,66,12.287878787878787,8,11.14864864864865
"vDeltaF,vDeltaG,vDeltaH,vDeltaI",136,7.794117647058823,74,2.483564645726808
